Entity,10:41:26,10:43:13,10:44:55,10:45:07~10:45:20,10:46:35~10:46:37,10:48:13~10:48:25,10:48:36,10:48:52,10:49:13,10:49:33~10:49:40,10:50:57~10:50:59,10:52:07,10:52:29~10:52:40,10:53:00,10:53:24~10:53:58,10:54:21,10:56:09,10:56:38~10:57:02,10:57:38,10:59:11~10:59:12,10:59:38~10:59:42,11:00:14~11:00:15,11:00:46,11:01:00,11:01:24,11:01:46,11:03:04~11:03:13,11:03:27,11:03:38~11:03:46,11:04:33,11:04:54,11:06:00~11:06:28,11:07:02,11:08:44~11:08:46,11:09:57~11:09:59,11:10:10,11:12:45~11:12:48,11:13:20~11:13:22,11:15:42~11:15:49,11:16:28~11:16:29,11:16:48~11:16:50,11:17:11~11:17:13,11:17:30,11:17:48,11:18:04,11:18:18~11:18:22,11:18:36~11:18:41,11:18:55~11:19:03,11:20:59,11:21:23~11:21:47,11:22:21~11:22:24,11:22:50,11:23:02~11:23:04,11:23:15~11:23:37,11:23:49,11:24:11~11:24:21,11:25:11~11:25:13,11:25:44~11:25:46,11:26:05,11:30:02,11:34:47,11:36:54,11:38:15,11:45:42,13:50:48
C:class-7824b38c-b535-4289-afab-8d3d04116fc3,,,,🎭 Create(8p) | 👁️ Open,🎭➡️ Creating... | 🎭➡️ Made Characte,👁️ Open,🔧 Edit charac,🔧 Cancel | 🔧 charac→face cut,,,👁️ Open,🔧 Edit new ob,🔧 new ob→each oth | 🔧 Cancel | 🔧 Edit other | 🔧 other→each oth | 🔧 Cancel | 📝 instance_selected,,📝 instance_selected | 📝 instance_selected,📝 instance_selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:class-9105e820-e4e3-4403-a80a-10662630d08f,,,,,,,,,,,,,,,,,,,,,🎭 Create(1p) | 👁️ Open,🎭➡️ Creating... | 🎭➡️ Made Car,🎭➡️ Creating... | 🎭➡️ Made Car,📝 instance_selected,,📝 instance_selected,👁️ Open | 🔧 Edit car,🔧 Cancel,🔧 Edit car | 🔧 car→directio | 🔧 Cancel | 📝 instance_selected,,,📝 instance_selected | 📝 instance_selected | 📝 instance_selected,📝 instance_selected,📝 instance_selected | 📝 instance_selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:class-9a72e684-6227-404f-9d36-9fb31934bb15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🎭 Create(7p) | 📝 instance_selected | 👁️ Open,🎭➡️ Creating... | 🎭➡️ Made Player | 📝 instance_selected,🎭➡️ Creating... | 🎭➡️ Made Player | 📝 instance_selected,🎭➡️ Creating... | 🎭➡️ Made Player | 📝 instance_selected,📝 instance_selected,📝 instance_selected,,📝 instance_selected,📝 instance_selected,📝 instance_selected,👁️ Open,🔧 Edit backwa | 🔧 Cancel | 🔧 backwa→body bac | 📝 instance_selected | 📝 instance_selected,📝 instance_selected,📝 instance_selected,,📝 instance_selected | 📝 instance_selected | 📝 instance_selected | 📝 instance_selected,📝 instance_selected,📝 instance_selected | 📝 instance_selected | 📝 instance_selected | 📝 instance_selected | 📝 instance_selected,📝 instance_selected | 📝 instance_selected,,📝 instance_selected,,,,,,
C:class-a179ff85-1b3b-4241-b313-7a13c21663b3,,,,🎭 Create(8p),,,,,,,,,,,,,,👁️ Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:class-c6c162f3-851b-4f53-8ea1-74091e9faf51,,,,,,,,,,,,,,,,,,🎭 Create(1p) | 👁️ Open | 👁️ Open,,👁️ Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:car-1,,,,,,,,,,,,,,,,,✏️ Edit,💾 Save(T) | 📝 started,✏️ Edit,💾 Save(T),📝 started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:instance-00150b9e-a9dd-4ec6-9054-a886e085bcf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👆 Select | ✏️ Edit,💾 Save(G) | 👆 Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:instance-0cf383ab-a4e6-4586-96be-04b728d34547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,➕ Baseline,,,,,
I:instance-39563bfe-d34d-408a-b0e0-a5b202be8de5,,,,,🎭 From Unknown,,,,✏️ Edit,💾 Save(T),,,,✏️ Edit,💾 Save(T) | ✏️ Edit | ✏️ Edit | 👆 Select | ✏️ Edit | ✏️ Edit,💾 Save(T) | 👆 Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:instance-46758e4b-9180-4671-97d1-559300b1173f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,➕ Baseline,,
I:instance-52312274-f015-4013-a9a1-5f0c54075eee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🎭 From Unknown,👆 Select,,,,✏️ Edit,💾 Save(T),,,👆 Select | ✏️ Edit,💾 Save(T) | 👆 Select,✏️ Edit | ✏️ Edit,👆 Select | 💾 Save(G),,👆 Select,,,,,,,,,
I:instance-7c8aaea6-7661-4453-9228-ed606086ab3c,,,,,,,,,,,,,,,,,,,,,,🎭 From Unknown,,,✏️ Edit,💾 Save(T),,,,,,✏️ Edit | ✏️ Edit | 💾 Save(T) | 👆 Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:instance-88fa1022-5a67-4284-a1e8-c8cfec86f3de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,➕ Baseline,,,
I:instance-960c3fd6-c508-419b-b4e9-8550759a0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🎭 From Unknown,,,👆 Select,,👆 Select | ✏️ Edit,💾 Save(T) | 👆 Select,👆 Select,,👆 Select,,,,👆 Select | ✏️ Edit,💾 Save(G) | 👆 Select,👆 Select | 👆 Select | 👆 Select,👆 Select,,,,,,,,
I:instance-a3c3d8aa-d267-4005-adfe-c965ae4fc027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🎭 From Unknown,,,,,✏️ Edit,💾 Save(T),,,,,,,,,,,👆 Select,✏️ Edit | ✏️ Edit,💾 Save(G) | 👆 Select,,,,,,
I:instance-aac00850-361a-4a5c-b913-13416d832207,,,,,,,,,,,,,,,,,,,,,,,🎭 From Unknown,👆 Select,,👆 Select,,,👆 Select,✏️ Edit,✏️ Edit,👆 Select | ✏️ Edit | 👆 Select,💾 Save(G) | 👆 Select,👆 Select | 👆 Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:instance-c110f5f6-160b-4fb9-a33a-8efe3ff0f98f,➕ Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I:instance-cd9b7796-f002-40ae-ad23-fad830b5da07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👆 Select | ✏️ Edit,💾 Save(G) | 👆 Select | ✏️ Edit,💾 Save(G) | 👆 Select | 📝 started | 👆 Select,👆 Select,👆 Select,👆 Select,,,,,,,,👆 Select,,,,✏️ Edit | 👆 Select | 👆 Select | 💾 Save(G),,👆 Select,,,,,,,,,
I:instance-d3f68163-f9d8-475d-b9ee-e4e0fdd244da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✏️ Edit,
I:instance-eb20fd01-4afc-4e44-87a4-c6cbf8bddfa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,➕ Baseline,,,,
I:tomato-1,,✏️ Edit,💾 Save(T),📝 started | 📝 started,,,,,,,,,👆 Select,,👆 Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
