No,Time,Event,C:None,C:class-78...,C:class-91...,C:class-9a...,C:class-a1...,C:class-c6...,I:car-1,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:tomato-1
1,10:41:26,baselineboard.node.add.instance,,,,,,,,,,,,,,,,,,,,,,
2,10:43:13,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,📝 instance.edit.started
3,10:44:55,instance.updated,,,,,,,,,,,,,,,,,,,,,,💾 Updated (T)
4,10:45:07,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
5,10:45:12,class.create.started,,,,,,,,,,,,,,,,,,,,,,📝 class.create.started
6,10:45:13,class.create.started,,,,,,,,,,,,,,,,,,,,,,📝 class.create.started
7,10:45:15,class.created,,,,,🎭 Created (8p),,,,,,,,,,,,,,,,,
8,10:45:16,class.created,,🎭 Created (8p),,,,,,,,,,,,,,,,,,,,
9,10:45:20,class_detail_opened,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,,,
10,10:46:35,instance.create_from_class.started,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,,,
11,10:46:37,instance.created_from_class,,🎭➡️ Created Characte,,,,,,,,,,,,,,,,,,,,
12,10:48:13,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
13,10:48:21,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
14,10:48:25,class_detail_opened,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,,,
15,10:48:36,object_node.edit.started,,,,,,,,,,,,,,,,,,,,,,
16,10:48:52,object_node.edit.cancelled,,,,,,,,,,,,,,,,,,,,,,
17,10:48:52,object_node.edit.saved,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c,🔧 charac→face c
18,10:49:13,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
19,10:49:33,instance.updated,,,,,,,,,,,,,,,,,,,,,,
20,10:49:40,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
21,10:50:57,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
22,10:50:59,class_detail_opened,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,,,
23,10:52:07,object_node.edit.started,,,,,,,,,,,,,,,,,,,,,,
24,10:52:29,object_node.edit.saved,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o,🔧 new ob→each o
25,10:52:29,object_node.edit.cancelled,,,,,,,,,,,,,,,,,,,,,,
26,10:52:30,object_node.edit.started,,,,,,,,,,,,,,,,,,,,,,
27,10:52:32,object_node.edit.saved,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o,🔧 other→each o
28,10:52:32,object_node.edit.cancelled,,,,,,,,,,,,,,,,,,,,,,
29,10:52:40,instance_selected,,📝 instance_selected,,,,,,,,,,,,,,,,,,,,📝 instance_selected
30,10:53:00,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
31,10:53:24,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
32,10:53:30,instance_selected,,📝 instance_selected,,,,,,,,,,,,,,,,,,,,📝 instance_selected
33,10:53:30,instance.updated,,,,,,,,,,,,,,,,,,,,,,
34,10:53:35,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
35,10:53:43,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
36,10:53:46,instance_selected,,📝 instance_selected,,,,,,,,,,,,,,,,,,,,
37,10:53:49,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
38,10:53:58,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
39,10:54:21,instance.updated,,,,,,,,,,,,,,,,,,,,,,
40,10:54:21,instance_selected,,📝 instance_selected,,,,,,,,,,,,,,,,,,,,
41,10:56:09,instance.edit.started,,,,,,,📝 instance.edit.started,,,,,,,,,,,,,,,
42,10:56:38,instance.updated,,,,,,,💾 Updated (T),,,,,,,,,,,,,,,
43,10:56:42,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
44,10:56:45,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
45,10:56:48,class.create.started,,,,,,,📝 class.create.started,,,,,,,,,,,,,,,
46,10:56:49,class.created,,,,,,🎭 Created (1p),,,,,,,,,,,,,,,,
47,10:56:50,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
48,10:56:52,class_detail_opened,,,,,📝 class_detail_opened,,,,,,,,,,,,,,,,,
49,10:56:55,class_detail_opened,,,,,,📝 class_detail_opened,,,,,,,,,,,,,,,,
50,10:57:02,class_detail_opened,,,,,,📝 class_detail_opened,,,,,,,,,,,,,,,,
51,10:57:38,instance.edit.started,,,,,,,📝 instance.edit.started,,,,,,,,,,,,,,,
52,10:59:11,instance.updated,,,,,,,💾 Updated (T),,,,,,,,,,,,,,,
53,10:59:12,class_detail_opened,,,,,,📝 class_detail_opened,,,,,,,,,,,,,,,,
54,10:59:38,class.create.started,,,,,,,📝 class.create.started,,,,,,,,,,,,,,,
55,10:59:40,class.created,,,🎭 Created (1p),,,,,,,,,,,,,,,,,,,
56,10:59:42,class_detail_opened,,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,,
57,11:00:14,instance.create_from_class.started,,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,,
58,11:00:15,instance.created_from_class,,,🎭➡️ Created Car,,,,,,,,,,,,,,,,,,,
59,11:00:46,instance.create_from_class.started,,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,,
60,11:00:46,instance.created_from_class,,,🎭➡️ Created Car,,,,,,,,,,,,,,,,,,,
